Item ID,Query Type,Difficulty,Legal Domain,Question,Reference Answer,Constitutional Articles,Supporting Passage(s),Annotated By,Annotation Date,--- EXPERT REVIEW ---,Correctness (1=Poor  5=Excellent),Completeness (1=Poor  5=Excellent),Clarity (1=Poor  5=Excellent),Expert Comments,Reviewer Name,Review Date
QAC_013,Factual,Medium,Administrative,What does the Constitution say about the State's duty to safeguard territorial integrity and sovereignty?,"Article 27(3) of the Constitution states that the State shall safeguard the independence, sovereignty, unity and the territorial integrity of Sri Lanka. Article 27(4) further provides that the State shall strengthen and broaden the democratic structure of government and the democratic rights of the People by decentralizing the administration and by affording all possible opportunities to the People to participate at every level in national life and in government.",Article 27,"Art. 27: (3) The State shall safeguard the independence, sovereignty, unity and the territorial integrity of Sri Lanka. (4) The State shall strengthen and broaden the democratic structure of government and the",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_014,Factual,Medium,Administrative,What does the Constitution say about eliminating economic inequality and concentration of wealth?,Article 27(7) of the Constitution provides that the State shall eliminate economic and social privilege and disparity and the exploitation of man by man or by the State. Article 27(8) further provides that the State shall ensure that the operation of the economic system does not result in the concentration of wealth and the means of production to the common detriment. Article 27(9) adds that the State shall ensure social security and welfare.,Article 27,"Art. 27: (3) The State shall safeguard the independence, sovereignty, unity and the territorial integrity of Sri Lanka. (4) The State shall strengthen and broaden the democratic structure of government and the",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_015,Factual,Medium,Administrative,What constitutional obligations does Sri Lanka have regarding environmental protection?,"Article 27(14) of the Constitution provides that the State shall protect, preserve and improve the environment for the benefit of the community. This is a directive principle of state policy under Chapter VI of the Constitution, meaning it guides legislation and governance but is not directly enforceable in courts under Article 29.","Article 27, Article 29",Art. 27: (11) The State shall create the necessary economic and social environment to enable people of all religious faiths to make a reality of their religious principles. (12) The State shall recognize and p || Art. 29: The provisions of this Chapter do not confer or Principles of State impose legal rights or obligations and are not enforceable Policy and in any court or tribunal. No question of inconsistency fundame,LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_016,Factual,Medium,Administrative,What does the Constitution say about Sri Lanka's obligations regarding international peace and cooperation?,"Article 27(15) of the Constitution states that the State shall promote international peace, security and co-operation, and the establishment of a just and equitable international economic and social order and shall endeavour to foster respect for international law and treaty obligations in dealings among nations.",Article 27,Art. 27: (11) The State shall create the necessary economic and social environment to enable people of all religious faiths to make a reality of their religious principles. (12) The State shall recognize and p,LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_017,Factual,Medium,Administrative,What are the fundamental duties of citizens under the Constitution of Sri Lanka?,Article 28 of the Constitution provides that the exercise and enjoyment of rights and freedoms are inseparable from the performance of duties and obligations. It is accordingly the duty of every person in Sri Lanka: (a) to uphold and defend the Constitution and the law; (b) to further the national interest and to foster national unity; (c) to work conscientiously in his chosen occupation. These fundamental duties apply alongside the fundamental rights guaranteed in Chapter III.,"Article 28, Article 28",Art. 28: The exercise and enjoyment of rights and Fundamental freedoms are inseparable from the performance of duties duties and obligations and accordingly it is the duty of every person in Sri Lanka  (a) to || Art. 28: The exercise and enjoyment of rights and Fundamental freedoms are inseparable from the performance of duties duties and obligations and accordingly it is the duty of every person in Sri Lanka  (a) to,LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_018,Interpretive,Medium,Administrative,Are the Directive Principles of State Policy legally enforceable in court?,"No. Article 29 of the Constitution expressly provides that the provisions of Chapter VI (Directive Principles of State Policy and Fundamental Duties) do not confer or impose legal rights or obligations and are not enforceable in any court or tribunal. No question of inconsistency with such provisions shall be raised in any court or justiciable tribunal. The Directive Principles serve as guides for Parliament, the President and the Cabinet of Ministers in governance, but cannot be directly relied upon in litigation.",Article 29,Art. 29: The provisions of this Chapter do not confer or Principles of State impose legal rights or obligations and are not enforceable Policy and in any court or tribunal. No question of inconsistency fundame,LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_019,Factual,Easy,Criminal,What is the presumption of innocence under Sri Lankan constitutional law?,"Article 13(5) of the Constitution provides that every person shall be presumed innocent until he is proved guilty. The burden of proving particular facts may, by law, be placed on an accused person, but this does not negate the general presumption of innocence.",Article 13,"Art. 13: (1) No person shall be arrested except according Freedom from to procedure established by law. Any person arrested shall arbitrary arrest, be informed of the reason for his arrest. detention and punis",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_020,Factual,Easy,Labor,What does the Constitution say about the right to freedom of association and forming trade unions?,Article 14 of the Constitution guarantees the freedom of association and the freedom to form and join a trade union. These rights are protected as fundamental rights under Chapter III of the Constitution.,Article 14,"Art. 14: (1) Every citizen is entitled to  speech, assembly, (a) the freedom of speech and expression association, including publication; occupation, movement, & c. (b) the freedom of peaceful assembly; (c) th",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_021,Procedural,Hard,Administrative,How is the Constitution of Sri Lanka amended?,"Article 82 of the Constitution provides that no Bill for the amendment of any provision of the Constitution shall be placed on the Order Paper of Parliament, unless the provision to be repealed, altered or added, and consequential amendments, if any, are expressly specified in the Bill and it is described in the long title thereof as being an Act for the amendment of the Constitution.",Article 82,"Art. 82: (1) No Bill for the amendment of any provision Amendment or of the Constitution shall be placed on the Order Paper of repeal of the Constitution Parliament, unless the provision to be repealed, altere",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_022,Factual,Easy,Administrative,What is the National Day and National Anthem of Sri Lanka under the Constitution?,"Article 8 of the Constitution provides that the National Day of the Republic of Sri Lanka shall be the fourth day of February. Article 7 provides that the National Anthem of the Republic of Sri Lanka shall be Sri Lanka Matha, the words and music of which are set out in the Third Schedule to the Constitution.","Article 8, Article 7","Art. 8: The National Day of the Republic of Sri Lanka Day shall be the fourth day of February 1 - Substituted by the Seventh Amendment to the Constitution Sec. 2(a). 2 - Substituted by the Seventh Amendment t || Art. 7: The National Anthem of the Republic of Sri Anthem Lanka shall be Sri Lanka Matha, the words and music of which are set out in the Third Schedule. The National",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_023,Cross_referenced,Hard,Administrative,How does Article 9 on Buddhism relate to the right to freedom of religion under Article 10?,"Article 9 gives Buddhism the foremost place and imposes a duty on the State to protect and foster the Buddha Sasana. However, Article 9 itself qualifies this by stating it is done 'while assuring to all religions the rights granted by Articles 10 and 14(1)(e)'. Article 10 guarantees every person freedom of thought, conscience and religion, including the freedom to have or adopt a religion of their choice. Therefore, the constitutional primacy of Buddhism under Article 9 does not override the individual right to freedom of religion guaranteed under Article 10.","Article 9, Article 10","Art. 9: The Republic of Sri Lanka shall give to Buddhism Buddhism the foremost place and accordingly it shall be the duty of the State to protect and foster the Buddha Sasana, while assuring to all religions || Art. 10: Every person is entitled to freedom of thought, thought, conscience and religion, including the freedom to have or conscience and religion to adopt a religion or belief of his choice. Freedom",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_024,Interpretive,Hard,Administrative,Do the fundamental duties under Article 28 limit the exercise of fundamental rights?,"Article 28 of the Constitution provides that the exercise and enjoyment of rights and freedoms are inseparable from the performance of duties and obligations. The duties listed include upholding the Constitution and law, furthering national interest, and working conscientiously. However, Article 29 makes clear that the provisions of Chapter VI (which includes Article 28) do not confer or impose legally enforceable rights or obligations. Therefore, while Article 28 links rights and duties conceptually, it does not operate as a legal restriction that courts can use to limit the exercise of fundamental rights guaranteed in Chapter III.","Article 28, Article 29",Art. 28: The exercise and enjoyment of rights and Fundamental freedoms are inseparable from the performance of duties duties and obligations and accordingly it is the duty of every person in Sri Lanka  (a) to || Art. 29: The provisions of this Chapter do not confer or Principles of State impose legal rights or obligations and are not enforceable Policy and in any court or tribunal. No question of inconsistency fundame,LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_025,Factual,Medium,Criminal,Does the Constitution protect against retrospective criminal penalties?,"Yes. Article 13(6) of the Constitution provides that no person shall be held guilty of an offence on account of any act or omission which did not, at the time of such act or omission, constitute such an offence, and no penalty shall be imposed for any offence more severe than the penalty applicable at the time the offence was committed. This prohibition on retrospective penal legislation is a fundamental right under Chapter III.",Article 13,"Art. 13: (1) No person shall be arrested except according Freedom from to procedure established by law. Any person arrested shall arbitrary arrest, be informed of the reason for his arrest. detention and punis",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_026,Factual,Medium,Administrative,What does the Constitution say about Sri Lanka's obligation to ensure social security?,"Article 27(9) of the Constitution provides that the State shall ensure social security and welfare. Article 27(2) further pledges the State to promote the welfare of the People by securing and protecting a social order in which justice shall guide all institutions of national life. These are Directive Principles of State Policy under Chapter VI, meaning they guide governance but are not directly enforceable in courts.","Article 27, Article 27","Art. 27: (3) The State shall safeguard the independence, sovereignty, unity and the territorial integrity of Sri Lanka. (4) The State shall strengthen and broaden the democratic structure of government and the || Art. 27: (3) The State shall safeguard the independence, sovereignty, unity and the territorial integrity of Sri Lanka. (4) The State shall strengthen and broaden the democratic structure of government and the",LEGAL_EXPERT_1 (Human-Annotated),2026-03-08,,,,,,,
QAC_027,Factual,Easy,Constitutional,What is the national flag of Sri Lanka as defined by the Constitution?,Article 6 of the Constitution establishes the National Flag of Sri Lanka as the Lion Flag.,Article 6,Art. 6: The National Flag of the Republic of Sri Lanka Flag shall be the Lion Flag depicted in the Second Schedule. The National,LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_028,Factual,Easy,Constitutional,What is the national anthem of Sri Lanka under the Constitution?,Article 7 of the Constitution declares that the National Anthem of the Republic of Sri Lanka shall be 'Sri Lanka Matha'.,Article 7,"Art. 7: The National Anthem of the Republic of Sri Anthem Lanka shall be Sri Lanka Matha, the words and music of which are set out in the Third Schedule. The National",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_029,Factual,Easy,Constitutional,What date is designated as the National Day of Sri Lanka?,Article 8 of the Constitution provides that the National Day of the Republic of Sri Lanka shall be the fourth day of February.,Article 8,Art. 8: The National Day of the Republic of Sri Lanka Day shall be the fourth day of February 1 - Substituted by the Seventh Amendment to the Constitution Sec. 2(a). 2 - Substituted by the Seventh Amendment t,LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_030,Factual,Easy,Constitutional,What special status does Buddhism receive under the Constitution?,"Article 9 of the Constitution mandates that 'the Republic of Sri Lanka shall give to Buddhism the foremost place' and that 'it shall be the duty of the State to protect and foster the Buddha Sasana, while assuring to all religions the rights granted by Articles 10 and 14(1)(e)'.",Article 9,"Art. 9: The Republic of Sri Lanka shall give to Buddhism Buddhism the foremost place and accordingly it shall be the duty of the State to protect and foster the Buddha Sasana, while assuring to all religions",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_031,Factual,Easy,Constitutional,What does Article 10 of the Constitution guarantee?,"Article 10 of the Constitution guarantees that every person is entitled to freedom of thought, conscience and religion, including the freedom to have or to adopt a religion or belief of his choice.",Article 10,"Art. 10: Every person is entitled to freedom of thought, thought, conscience and religion, including the freedom to have or conscience and religion to adopt a religion or belief of his choice. Freedom",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_032,Factual,Easy,Constitutional,What does Article 11 of the Constitution prohibit?,"Article 11 of the Constitution provides that no person shall be subjected to torture or to cruel, inhuman or degrading treatment or punishment.",Article 11,"Art. 11: No person shall be subjected to torture or to from torture cruel, inhuman or degrading treatment or punishment. Right to",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_033,Factual,Medium,Constitutional,What is the right to equality guaranteed by Article 12 of the Constitution?,"Article 12(1) of the Constitution provides that all persons are equal before the law and are entitled to the equal protection of the law. Article 12(2) prohibits discrimination on grounds of race, religion, language, caste, sex, political opinion, place of birth or any such grounds.",Article 12,"Art. 12: (1) All persons are equal before the law and are equality entitled to the equal protection of the law. (2) No citizen shall be discriminated against on the grounds of race, religion, language, caste,",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_034,Factual,Medium,Constitutional,What protections does Article 13 of the Constitution provide against arrest and detention?,Article 13(1) of the Constitution states that no person shall be arrested except according to procedure established by law. Any person arrested shall be informed of the reason for his arrest. Article 13(2) requires that every person held in custody be produced before the Judge of the nearest competent court according to procedure established by law.,Article 13,"Art. 13: (1) No person shall be arrested except according Freedom from to procedure established by law. Any person arrested shall arbitrary arrest, be informed of the reason for his arrest. detention and punis",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_035,Procedural,Medium,Constitutional,How may a person enforce a fundamental right that has been violated?,"Article 17 of the Constitution provides that every person shall be entitled to apply to the Supreme Court, as provided by Article 126, in respect of the infringement or imminent infringement by executive or administrative action of a fundamental right to which such person is entitled.",Article 17,"Art. 17: Every person shall be entitled to apply to the for the Supreme Court, as provided by Article 126, in respect of infringement of the infringement or imminent infringement, by executive fundamental righ",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_036,Factual,Easy,Constitutional,What are the national languages of Sri Lanka according to the Constitution?,Article 19 of the Constitution declares that the national languages of Sri Lanka shall be Sinhala and Tamil.,Article 19,Art. 19: The National Languages of Sri Lanka shall be National Languages Sinhala and Tamil.,LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_037,Factual,Easy,Constitutional,What is the link language of Sri Lanka under the Constitution?,"Article 22 of the Constitution provides that English shall be the link language, meaning it may be used for purposes of communication between persons who are conversant only with different official languages.",Article 22,Art. 22: (1) Sinhala and Tamil shall be the languages 8[Languages of Administration of administration throughout Sri Lanka and Sinhala shall be the language of administration and be used for the maintenance of,LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_038,Factual,Medium,Constitutional,How is citizenship defined and structured under Article 26 of the Constitution?,Article 26(1) of the Constitution provides that there shall be one status of citizenship of Sri Lanka known as the status of a citizen of Sri Lanka.,Article 26,"Art. 26: (1) There shall be one status of citizenship of Sri Lanka known as the status of a citizen of Sri Lanka. (2) A citizen of Sri Lanka shall for all purposes be described only as a citizen of Sri Lanka,",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_039,Factual,Easy,Constitutional,What is the role and position of the President of Sri Lanka under the Constitution?,"Article 30(1) of the Constitution establishes that there shall be a President of the Republic of Sri Lanka who shall be the Head of the State, the Head of the Executive and of the Government, and the Commander-in-Chief of the Armed Forces.",Article 30,"Art. 30: (1) There shall be a President of the The Republic of Sri Lanka, who is the Head of the State, President of the the Head of the Executive and of the Government, Republic and the Commander-in-Chief of",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_040,Factual,Easy,Constitutional,What is the term of office of the President of Sri Lanka?,Article 30(2) of the Constitution provides that the President of the Republic shall be elected by the People and shall hold office for a term of five years.,Article 30,"Art. 30: (1) There shall be a President of the The Republic of Sri Lanka, who is the Head of the State, President of the the Head of the Executive and of the Government, Republic and the Commander-in-Chief of",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_041,Procedural,Medium,Constitutional,What happens when the office of President becomes vacant before the end of the term?,"Article 40(1)(a) of the Constitution provides that if the office of President shall become vacant prior to the expiration of the term of office, Parliament shall elect a new President from among its members. The successor shall hold office only for the unexpired period of the term of the vacating President.",Article 40,"Art. 40: (1) (a) If the office of President shall become Vacation of office by vacant prior to the expiration of his term of office, President Parliament shall elect as President one of its Members and electio",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_042,Factual,Medium,Constitutional,What are the grounds on which the office of President becomes vacant?,Article 38 of the Constitution lists the grounds on which the office of President shall become vacant: (a) upon death; (b) resignation addressed to the Speaker; (c) ceasing to be a citizen of Sri Lanka; (d) failure of the President-elect to assume office within two weeks; (e) removal from office; or (f) a Supreme Court determination that the President's election was void.,Article 38,Art. 38: (1) The office of President shall become vacant  office by President (a) upon his death; (b) if he resigns his office by a writing under his hand addressed to the Speaker; (c) if he ceases to be a cit,LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_043,Factual,Medium,Constitutional,Who acts as President when the President is unable to discharge the functions of office?,"Under the Constitution, the Prime Minister acts as President when the President is temporarily unable to discharge the functions of office. If the Prime Minister is also unable to act, the Speaker shall act as President.",Article 37,"Art. 37: (1) If the President is of the opinion that by Exercise, performance reason of illness, absence from Sri Lanka or any other and cause he will be unable to exercise, perform and discharge discharge of",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_044,Factual,Medium,Constitutional,What is the Cabinet of Ministers and what is its responsibility under the Constitution?,"Article 43(1) of the Constitution provides that there shall be a Cabinet of Ministers charged with the direction and control of the Government of the Republic, which shall be collectively responsible and answerable to Parliament.",Article 43,Art. 43: (1) There shall be a Cabinet of Ministers charged Minister with the direction and control of the Government of the and the Republic. Cabinet of Ministers (2) The Cabinet of Ministers shall be collecti,LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_045,Procedural,Medium,Constitutional,How is the Prime Minister appointed under the Constitution?,"Article 43(3) of the Constitution provides that the President shall appoint as Prime Minister the Member of Parliament who, in the President's opinion, is most likely to command the confidence of Parliament.",Article 43,Art. 43: (1) There shall be a Cabinet of Ministers charged Minister with the direction and control of the Government of the and the Republic. Cabinet of Ministers (2) The Cabinet of Ministers shall be collecti,LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_046,Factual,Medium,Constitutional,Who presides over Parliament and how is the Speaker elected?,"Article 64(1) of the Constitution provides that Parliament shall, at its first meeting after a general election, elect from among its members a Speaker. The Speaker shall preside over Parliament. Article 65 provides for a Deputy Speaker who presides in the absence of the Speaker.",Article 64,"Art. 64: (1) Parliament shall, at its first meeting after a Speaker, Deputy General Election, elect three Members to be respectively Speaker and the Speaker, the Deputy Speaker and Chairman of Committees Deput",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_047,Factual,Medium,Constitutional,How often must Parliament meet and what constitutes a quorum?,"Article 73 provides that the quorum for a sitting of Parliament is twenty members. If at any time during a meeting of Parliament the attention of the person presiding is drawn to the fact that fewer than twenty members are present, the person presiding shall adjourn the sitting without question put. The Constitution corpus does not contain a provision prescribing how often Parliament must meet per year in the passages assessed; Article 71 deals with adjournment rather than with a mandatory annual-session requirement.",Article 73,"Art. 73: If at any time during a meeting of Parliament Quorum the attention of the person presiding is drawn to the fact that there are fewer than twenty Members present, the person presiding shall, subject to",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_048,Procedural,Hard,Constitutional,Under what conditions may the President dissolve Parliament?,"Article 70 of the Constitution gives the President power to dissolve Parliament. However, the President shall not dissolve Parliament until the expiration of not less than two years and six months from the date appointed for the first meeting of Parliament, unless Parliament itself requests dissolution by resolution. There are also restrictions on dissolution after a no-confidence motion has been received by the Speaker.",Article 70,"Art. 70: 53[(1) The President may, from time to time, by Parliament Proclamation summon, prorogue and dissolve Parliament: Provided that  (a) subject to the provisions of sub-paragraph (d), the President shall",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_049,Procedural,Medium,Constitutional,What is the procedure for passing a Bill in Parliament?,"Article 79 of the Constitution requires the Speaker to endorse on every Bill passed by Parliament a certificate that the Bill has been duly passed. Under Article 80, a Bill passed by Parliament shall become law when the Speaker's certificate is endorsed thereon. Where the Cabinet of Ministers certifies that a Bill is to be submitted for approval by the People at a Referendum, the Bill shall not become law unless approved at such Referendum.","Article 79, Article 80",Art. 79: The Speaker shall endorse on every Bill passed Certificate of Speaker by Parliament a certificate in the following form: This Bill (here state the short title of the Bill) has been duly passed by Parl,LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_050,Procedural,Hard,Constitutional,How is the Constitution amended and what special requirements apply to certain provisions?,"Article 82 provides the general procedure: a Bill for amendment requires a two-thirds majority of all members of Parliament. Article 83 lists entrenched provisions — including those relating to sovereignty, unitary status, Buddhism (Article 9), and fundamental rights (Articles 10-14) — which additionally require approval by the People at a Referendum after passing with a two-thirds majority in Parliament.",Article 82,"Art. 82: (1) No Bill for the amendment of any provision Amendment or of the Constitution shall be placed on the Order Paper of repeal of the Constitution Parliament, unless the provision to be repealed, altere",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
